.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
82	Hapcheon-gun	8	61180	Gyeongsangnam-do	35.566702	128.16587	17	15	0	0.71	38.44	24.7	96	3. Moderate	3.1124238331298626	-1.5785740098273076	-0.875668193828636	-0.2965789829993009	-0.04796861569629286	0.03474721225762501	-0.20166890459393388
83	Hongseong-gun	2	41150	Chungcheongnam-do	36.60126	126.660772	21	26	2	1.35	23.11	11.3	179	2. Low	0.4727319703904642	0.11839683839121644	0.315182503948851	-0.5502946439038972	0.16391443914990403	-0.05953026474797625	0.10681234293115531
84	Hwaseong-si	20	20310	Gyeonggi-do	37.199536	126.83133	92	167	6	1.72	8.58	3.3	1001	4. High	-5.584548839495602	-2.3313721353058505	0.6440049850533286	0.4566788252495863	0.9843608135927733	0.2357130668649222	0.06562935404452207
85	Hwasun-gun	1	51220	Jeollanam-do	35.064456	126.986643	16	19	0	1.32	26.14	17.4	132	2. Low	1.6344366821535303	0.004355382646698647	-0.6613802258113648	-0.30878953047197283	0.34407321188609735	0.10160958893973286	-0.31939590482930086
86	Icheon-si	10	20260	Gyeonggi-do	37.272169	127.434991	31	51	2	1.76	13.71	5.8	333	3. Moderate	-1.2195918008124405	0.7734277412828847	0.2808760521591147	-0.19103444698996797	0.5903343054699263	0.04636217961854683	0.04878856661941343
87	Iksan-si	1	50090	Jeollabuk-do	35.948229	126.957792	60	83	2	2.18	18.85	9.3	556	2. Low	-2.156014759098031	-0.6370842756703462	-0.904005047274525	-0.32112534726704606	1.1098011972449393	-0.3140538028787656	0.12248517373899326
88	Inje-gun	1	30100	Gangwon-do	38.069682	128.170335	13	15	0	0.88	19.88	10.4	46	2. Low	1.2955045729847128	0.8112095768889366	0.40843104979784783	0.5296426576349292	0.25917418283129395	-0.013207901357530777	-0.08853989024476298
89	Jeonju-si	7	50120	Jeollabuk-do	35.824069	127.14805	73	120	7	3.02	14.4	6.8	1381	3. Moderate	-5.361260138859209	-1.4931551571457276	-0.6601432950805414	-1.9755732974828921	-0.05722020000725938	0.05528899642043973	0.0544835065535567
90	Jeungpyeong-gun	2	40080	Chungcheongbuk-do	36.785301	127.581481	4	5	0	1.39	16.59	8.7	62	2. Low	1.0323880410337463	1.731883627837627	0.22492057823127581	-0.025726269422575554	0.2679957587249859	0.11177817394031479	-0.12800068513334295
91	Jincheon-gun	1	40090	Chungcheongbuk-do	36.855374	127.435635	15	16	0	1.15	16.16	8.3	121	2. Low	0.7048516126350771	1.2669726872522888	0.31763854633554733	0.4725177312461841	0.3383829656500753	-0.07403403402530724	-0.1520361859741303
92	Jinju-si	9	61110	Gyeongsangnam-do	35.180313	128.10875	45	53	6	2.49	16.27	8.6	597	3. Moderate	-2.5879779284062323	-0.32526470166629984	0.4077718591706202	-2.232547224753138	0.15369380531066218	-0.2857835443734628	-0.1405700530920181
93	Jongno-gu	16	10230	Seoul	37.572999	126.979189	13	17	3	1.71	18.27	6.8	668	3. Moderate	-0.6112101379223297	0.9830124994739641	0.3268310545312609	-0.9368960140503261	-0.8696563204406044	0.010712203744091169	0.14311892252966626
94	Jung-gu	22	10240	Seoul	37.563988	126.99753	12	14	2	0.94	18.42	7.4	728	4. High	0.045040192183776535	0.7354309124276854	0.5769961854690537	0.18512886326434377	-1.256398642251735	-0.018133067660526497	-0.010153638904451054
95	Jung-gu	22	11150	Busan	35.106321	129.032256	4	4	0	1.36	26	13	182	4. High	1.692679491482496	0.8396101649845039	-0.39188565463498404	-0.37760922725655094	-0.09827085106083727	0.0970317312822387	0.15061447679825601
96	Jung-gu	22	12080	Daegu	35.869551	128.606184	10	12	0	4.03	20.29	9.6	594	4. High	-0.8821311038788663	2.6067564085125188	-2.7986201365783345	-2.7209025566848153	0.6578766664405875	0.054618112434400304	0.30077069535926587
97	Jung-gu	22	14100	Incheon	37.473761	126.621693	14	17	0	0.8	14.14	6.7	177	4. High	0.6525008451749892	1.3211585582185412	0.719804501968738	0.9856530674151521	0.08279548574186286	-0.04218263539383386	-0.17884189506150258
98	Jung-gu	22	15050	Daejeon	36.325735	127.421317	27	43	1	1.43	18.39	8.2	518	4. High	-0.4601977388674855	0.4790947909896095	-0.18126295166696352	0.2410143195484108	0.025060396944958187	0.026957468677609703	0.09075776227776754
99	Jung-gu	22	16050	Ulsan	35.569468	129.332773	21	37	0	2.03	14.15	6.5	323	4. High	-0.5573395993326651	1.6021018083353331	-0.5692695270058118	-0.07166389040434257	0.7012974127798156	0.11514742265172206	0.03905817128742971
100	Jungnang-gu	16	10250	Seoul	37.606832	127.092656	23	31	1	0.7	16.65	6.9	689	3. Moderate	-0.15585500299966212	0.48381045657584376	0.46322665043773775	1.0604773908659775	-0.7964863776791717	-0.08698419863909278	-0.07061800014375992
101	Mapo-gu	19	10130	Seoul	37.566283	126.901644	22	24	2	1.83	14.05	4.9	929	3. Moderate	-1.3346797621893436	1.2931253885897478	-0.2016858625769535	-0.32071558069409534	-0.8872137929662339	-0.1815614984472371	-0.02542971100484795
102	Michuhol-gu	11	14030	Incheon	37.463572	126.65027	29	43	2	0.9	16.29	6.8	643	3. Moderate	-0.6964721308859471	0.16834041867101646	0.6201458545693617	0.660302319003967	-0.5317451373359854	-0.04555687466998385	-0.03536750973888945
103	Miryang-si	5	61060	Gyeongsangnam-do	35.503827	128.746604	21	25	0	1.39	27.31	16.3	178	2. Low	1.3610117885930926	-0.12135663278639555	-0.7882051279072839	-0.25861034285583195	0.4073960567733208	-0.010370588278852198	-0.08413861137357617
104	Mokpo-si	5	51080	Jeollanam-do	34.811809	126.392198	33	55	3	2.11	15.88	8.8	406	2. Low	-1.4433043546807933	0.31168149066530715	-0.012372678827684995	-1.004798030471445	0.545324369750619	0.14202607707310444	-0.08677213562488703
105	Muan-gun	2	51090	Jeollanam-do	34.990368	126.481653	18	21	2	2.12	20.82	11.8	141	2. Low	0.12601722989740255	0.7568513412149888	-0.24003586987604025	-1.4259362003483946	0.5425536336376277	0.006144830889980512	-0.06539632699207712
